,Unnamed: 0,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
264,50890,22 October 2020,Battles,Mali,Mopti,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
265,51391,21 October 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
266,51805,21 October 2020,Explosions/Remote violence,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
271,52499,20 October 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
272,52502,20 October 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
275,53302,19 October 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
277,53656,18 October 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Communal Militia (Mali),,
278,53661,18 October 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
282,54176,18 October 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
284,54381,17 October 2020,Explosions/Remote violence,Mali,Segou,JNIM: Group for Support of Islam and Muslims,,,
285,54753,17 October 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
286,55081,17 October 2020,Explosions/Remote violence,Mali,Menaka,Military Forces of France (2017-),,,
289,55529,16 October 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
291,55858,15 October 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,
292,55926,15 October 2020,Battles,Mali,Mopti,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
