,Unnamed: 0,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
3544,833784,17 August 2015,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,
3545,833870,16 August 2015,Battles,Mali,Tombouctou,Tuareg Ethnic Militia (Mali),Songhai Ethnic Militia (Mali),,
3546,833885,16 August 2015,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,
3547,833886,16 August 2015,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,
3548,833887,16 August 2015,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,
3549,833958,15 August 2015,Battles,Mali,Kidal,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,
3551,834164,12 August 2015,Battles,Mali,Bamako,Unidentified Armed Group (Mali),Police Forces of Mali (2013-2020),,
3552,834350,10 August 2015,Explosions/Remote violence,Mali,Mopti,GMA: Mourabitounes Group of Azawad,Military Forces of Mali (2013-2020),,
3554,834545,08 August 2015,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Gaberi Communal Militia (Mali),,
3555,834606,07 August 2015,Battles,Mali,Mopti,GMA: Mourabitounes Group of Azawad,Military Forces of Mali (2013-2020),Katiba Macina,
3557,834920,03 August 2015,Battles,Mali,Tombouctou,AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of Mali (2013-2020),,
3558,835092,01 August 2015,Battles,Mali,Segou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
3559,835686,24 July 2015,Explosions/Remote violence,Mali,Kidal,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Islamist Militia (Mali),,
3560,835848,21 July 2015,Battles,Mali,Gao,Military Forces of Mali (2013-2020),Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),
3563,836111,16 July 2015,Battles,Mali,Sikasso,Military Forces of Mali (2013-2020),Islamist Militia (Mali),,Ansar Dine
3564,837151,05 July 2015,Battles,Mali,Kidal,AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of France (2012-2017),,
3565,837406,02 July 2015,Battles,Mali,Tombouctou,AQIM: Al Qaeda in the Islamic Maghreb,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3566,837470,01 July 2015,Battles,Mali,Sikasso,Islamist Militia (Mali),Military Forces of Mali (2013-2020),,
3567,837779,28 June 2015,Battles,Mali,Sikasso,Ansar Dine,Military Forces of Mali (2013-2020),,
3568,837866,27 June 2015,Battles,Mali,Koulikoro,Ansar Dine,Military Forces of Mali (2013-2020),Fulani Ethnic Militia (Mali),
3571,839206,14 June 2015,Battles,Mali,Gao,Unidentified Armed Group (Mali),GMA: Mourabitounes Group of Azawad,AQIM: Al Qaeda in the Islamic Maghreb,MUJAO: Movement for Unity and Jihad in West Africa
3572,839536,10 June 2015,Battles,Mali,Sikasso,Islamist Militia (Mali),Police Forces of Mali (2013-2020),Ansar Dine,Military Forces of Mali (2013-2020)
3573,839898,07 June 2015,Battles,Mali,Kayes,Unidentified Communal Militia (Guinea),Police Forces of Mali (2013-2020) Gendarmerie,,
3577,840525,01 June 2015,Battles,Mali,Mopti,Movement of the Liberation of Maasina,Military Forces of Mali (2013-2020),Fulani Ethnic Group (Mali),
3579,840897,29 May 2015,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3580,840996,28 May 2015,Explosions/Remote violence,Mali,Tombouctou,AQIM: Al Qaeda in the Islamic Maghreb,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3582,841284,25 May 2015,Battles,Mali,Bamako,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3583,841358,25 May 2015,Battles,Mali,Tombouctou,AQIM: Al Qaeda in the Islamic Maghreb,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,CMA: Coordination of Movements of the Azawad
3586,841592,22 May 2015,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3587,841606,22 May 2015,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,Military Forces of Mali (2013-2020),,
3589,841853,20 May 2015,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,Military Forces of Mali (2013-2020),,
3590,841854,20 May 2015,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,GATIA: Imghad Tuareg and Allies Self-Defense Group,,Military Forces of Mali (2013-2020)
3591,841901,20 May 2015,Battles,Mali,Bamako,Unidentified Armed Group (Mali),Private Security Forces (Central African Republic),,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)
3592,842139,18 May 2015,Battles,Mali,Tombouctou,MAA: Arab Movement of the Azawad,Military Forces of Mali (2013-2020),,
3593,842163,18 May 2015,Battles,Mali,Kidal,Military Forces of France (2012-2017),AQIM: Al Qaeda in the Islamic Maghreb,,
3594,842237,17 May 2015,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,GATIA: Imghad Tuareg and Allies Self-Defense Group,,
3596,842383,15 May 2015,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,GATIA: Imghad Tuareg and Allies Self-Defense Group,,
3599,842669,13 May 2015,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,GATIA: Imghad Tuareg and Allies Self-Defense Group,,
3601,842875,11 May 2015,Battles,Mali,Gao,CMA: Coordination of Movements of the Azawad,Military Forces of Mali (2013-2020),,
3602,843036,10 May 2015,Explosions/Remote violence,Mali,Mopti,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3603,843382,06 May 2015,Battles,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3604,843479,06 May 2015,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),Civilians (Mali),,
3605,843581,05 May 2015,Battles,Mali,Mopti,CMA: Coordination of Movements of the Azawad,Military Forces of Mali (2013-2020),,
3606,843966,02 May 2015,Battles,Mali,Tombouctou,CMA: Coordination of Movements of the Azawad,Military Forces of Mali (2013-2020),,
3609,844223,30 April 2015,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
3610,844361,29 April 2015,Battles,Mali,Tombouctou,CMA: Coordination of Movements of the Azawad,Military Forces of Mali (2013-2020),,
3611,844362,29 April 2015,Battles,Mali,Tombouctou,CMA: Coordination of Movements of the Azawad,Military Forces of Mali (2013-2020),,
3612,844477,28 April 2015,Battles,Mali,Tombouctou,CMA: Coordination of Movements of the Azawad,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3613,844610,27 April 2015,Battles,Mali,Gao,GATIA: Imghad Tuareg and Allies Self-Defense Group,MNLA: National Movement for the Liberation of Azawad,,
3614,845007,23 April 2015,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3616,845332,20 April 2015,Battles,Mali,Gao,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3618,845760,15 April 2015,Battles,Mali,Gao,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),GMA: Mourabitounes Group of Azawad,,
3619,845838,15 April 2015,Explosions/Remote violence,Mali,Mopti,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
3620,845868,15 April 2015,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),Civilians (Mali),,
3621,846131,12 April 2015,Explosions/Remote violence,Mali,Segou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
3622,846725,06 April 2015,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3624,846819,06 April 2015,Battles,Mali,Kidal,AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of France (2012-2017),,
3625,846866,05 April 2015,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,
3627,847050,03 April 2015,Explosions/Remote violence,Mali,Bamako,Unidentified Armed Group (Mali),Civilians (Mali),,
3628,847249,01 April 2015,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
3629,847284,01 April 2015,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,Pastoralists (Mali)
3634,848322,21 March 2015,Battles,Mali,Gao,Unidentified Armed Group (Mali),Private Security Forces (Mali),,
3636,848953,13 March 2015,Battles,Mali,Bamako,GMA: Mourabitounes Group of Azawad,Military Forces of Mali (2013-2020) Special Forces,,
3637,848986,13 March 2015,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
3639,849462,08 March 2015,Battles,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3640,849506,07 March 2015,Battles,Mali,Bamako,GMA: Mourabitounes Group of Azawad,Police Forces of Mali (2013-2020),,Private Security Forces (Mali)
3642,849554,07 March 2015,Explosions/Remote violence,Mali,Bamako,GMA: Mourabitounes Group of Azawad,Civilians (International),,Civilians (Mali)
3643,849973,02 March 2015,Battles,Mali,Kidal,Military Forces of France (2012-2017),Unidentified Armed Group (Mali),,
3645,850300,27 February 2015,Battles,Mali,Koulikoro,Militia (Miners),Militia (Miners),,
3646,850326,26 February 2015,Battles,Mali,Koulikoro,Militia (Miners),Militia (Miners),,
3647,850390,25 February 2015,Battles,Mali,Koulikoro,Militia (Miners),Militia (Miners),,
3648,852072,07 February 2015,Battles,Mali,Kidal,MNLA: National Movement for the Liberation of Azawad,GATIA: Imghad Tuareg and Allies Self-Defense Group,,
3649,852387,04 February 2015,Explosions/Remote violence,Mali,Tombouctou,Military Forces of Mali (2013-2020),Unidentified Armed Group (Mali),,
3650,852423,04 February 2015,Battles,Mali,Kidal,CMA: Coordination of Movements of the Azawad,Militia (Pro-Government),,
3651,852468,04 February 2015,Battles,Mali,Gao,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3652,852685,02 February 2015,Battles,Mali,Kayes,Military Forces of Mali (2013-2020),Unidentified Armed Group (Mali),,
3653,852857,31 January 2015,Battles,Mali,Kidal,Military Forces of France (2012-2017),Islamist Militia (Mali),,
3654,852993,30 January 2015,Battles,Mali,Tombouctou,MNLA: National Movement for the Liberation of Azawad,Militia (Pro-Government),MAA: Arab Movement of the Azawad,
3657,853225,28 January 2015,Battles,Mali,Gao,GATIA: Imghad Tuareg and Allies Self-Defense Group,CMA: Coordination of Movements of the Azawad,,
3659,853535,25 January 2015,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
3660,853569,25 January 2015,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
3663,854146,20 January 2015,Battles,Mali,Gao,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),CMA: Coordination of Movements of the Azawad,,
3664,854302,18 January 2015,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),,,
3665,854366,17 January 2015,Battles,Mali,Kidal,Islamist Militia (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3667,854443,16 January 2015,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),Katiba Macina,,
3668,854463,16 January 2015,Battles,Mali,Gao,Unidentified Armed Group (Mali),Unidentified Armed Group (Mali),,
3669,854898,12 January 2015,Battles,Mali,Gao,GMA: Mourabitounes Group of Azawad,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3670,855143,09 January 2015,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3671,855275,08 January 2015,Battles,Mali,Mopti,Katiba Macina,Military Forces of Mali (2013-2020),,
3672,855469,06 January 2015,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),,,
3674,855557,05 January 2015,Battles,Mali,Segou,Military Forces of Mali (2013-2020),AQIM: Al Qaeda in the Islamic Maghreb,,Muslim Group (Mali)
3675,855577,05 January 2015,Battles,Mali,Segou,Military Forces of Mali (2013-2020),AQIM: Al Qaeda in the Islamic Maghreb,,
3677,855714,04 January 2015,Explosions/Remote violence,Mali,Gao,MUJAO: Movement for Unity and Jihad in West Africa,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3679,855985,31 December 2014,Battles,Mali,Tombouctou,CMA: Coordination of Movements of the Azawad,GATIA: Imghad Tuareg and Allies Self-Defense Group,,
3680,855990,31 December 2014,Explosions/Remote violence,Mali,Kidal,Ansar Dine,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,Military Forces of France (2012-2017)
3682,856117,29 December 2014,Explosions/Remote violence,Mali,Kidal,Ansar Dine,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,Military Forces of France (2012-2017)
3683,856154,29 December 2014,Battles,Mali,Gao,GATIA: Imghad Tuareg and Allies Self-Defense Group,MNLA: National Movement for the Liberation of Azawad,MAA: Arab Movement of the Azawad (Splinter Faction),MAA: Arab Movement of the Azawad
3688,856665,18 December 2014,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3689,857026,11 December 2014,Battles,Mali,Gao,Military Forces of France (2012-2017),GMA: Mourabitounes Group of Azawad,Military Forces of Mali (2013-2020),
3691,857548,02 December 2014,Explosions/Remote violence,Mali,Kidal,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Unidentified Armed Group (Mali),,
3692,857983,25 November 2014,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),Military Forces of Mali (2013-2020),,
3693,857990,25 November 2014,Explosions/Remote violence,Mali,Kidal,Military Forces of France (2012-2017),Unidentified Armed Group (Mali),,
3701,859021,07 November 2014,Battles,Mali,Kidal,Military Forces of France (2012-2017),Unidentified Armed Group (Mali),Military Forces of Chad (1990-); Military Forces of Mauritania (2009-); Military Forces of Mali (2013-2020); Military Forces of Niger (2011-),
3702,859082,06 November 2014,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),Civilians (Mali),,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-)
3703,859297,03 November 2014,Battles,Mali,Tombouctou,Military Forces of Mali (2013-2020),Tuareg Ethnic Militia (Mali),,Supreme Council for Azawad Unity
3704,859318,02 November 2014,Battles,Mali,Mopti,Military Forces of Mali (2013-2020),MAA: Arab Movement of the Azawad,,HCUA: High Council for the Unity of Azawad
3705,859319,02 November 2014,Explosions/Remote violence,Mali,Gao,Military Forces of Mali (2013-2020),Unidentified Armed Group (Mali),,
3706,859520,30 October 2014,Battles,Mali,Kidal,Military Forces of France (2012-2017),Unidentified Armed Group (Mali),,
3708,859925,25 October 2014,Explosions/Remote violence,Mali,Kidal,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Unidentified Armed Group (Mali),,
3709,860382,18 October 2014,Battles,Mali,Gao,MNLA: National Movement for the Liberation of Azawad,GATIA: Imghad Tuareg and Allies Self-Defense Group,,
3710,860507,16 October 2014,Battles,Mali,Gao,GATIA: Imghad Tuareg and Allies Self-Defense Group,MNLA: National Movement for the Liberation of Azawad,,MAA: Arab Movement of the Azawad
3711,860725,13 October 2014,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MNLA: National Movement for the Liberation of Azawad,,
3712,861139,07 October 2014,Explosions/Remote violence,Mali,Kidal,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Unidentified Armed Group (Mali),Military Forces of France (2012-2017),
3713,861360,03 October 2014,Battles,Mali,Gao,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),MUJAO: Movement for Unity and Jihad in West Africa,,
3715,862124,19 September 2014,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),Civilians (Mali),,
3717,862192,18 September 2014,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3718,862372,16 September 2014,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),Civilians (Mali),,
3720,862529,14 September 2014,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3723,863220,02 September 2014,Explosions/Remote violence,Mali,Kidal,AQIM: Al Qaeda in the Islamic Maghreb,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3724,863470,29 August 2014,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3725,863513,28 August 2014,Explosions/Remote violence,Mali,Kidal,MUJAO: Movement for Unity and Jihad in West Africa,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3726,863575,27 August 2014,Explosions/Remote violence,Mali,Kidal,MUJAO: Movement for Unity and Jihad in West Africa,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3727,864297,16 August 2014,Explosions/Remote violence,Mali,Tombouctou,AQIM: Al Qaeda in the Islamic Maghreb,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3729,864708,10 August 2014,Explosions/Remote violence,Mali,Tombouctou,Military Forces of France (2012-2017),AQIM: Al Qaeda in the Islamic Maghreb,,
3732,865850,22 July 2014,Battles,Mali,Kidal,MNLA: National Movement for the Liberation of Azawad,Unidentified Armed Group (Mali),,
3733,865851,22 July 2014,Battles,Mali,Kidal,MNLA: National Movement for the Liberation of Azawad,Unidentified Armed Group (Mali),,
3735,866110,18 July 2014,Explosions/Remote violence,Mali,Kidal,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Unidentified Armed Group (Mali),,
3736,866156,18 July 2014,Explosions/Remote violence,Mali,Kidal,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Unidentified Armed Group (Mali),,
3738,866284,16 July 2014,Explosions/Remote violence,Mali,Kidal,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Unidentified Armed Group (Mali),,
3739,866505,14 July 2014,Explosions/Remote violence,Mali,Gao,GMA: Mourabitounes Group of Azawad,Military Forces of France (2012-2017),,
3740,866679,11 July 2014,Battles,Mali,Kidal,MAA: Arab Movement of the Azawad,MNLA: National Movement for the Liberation of Azawad,,
3741,866680,11 July 2014,Battles,Mali,Kidal,MAA: Arab Movement of the Azawad,MNLA: National Movement for the Liberation of Azawad,,
3742,867399,30 June 2014,Explosions/Remote violence,Mali,Tombouctou,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3743,867831,24 June 2014,Battles,Mali,Bamako,AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of Mali (2013-2020),,Police Forces of Mali (2013-2020)
3744,868318,17 June 2014,Battles,Mali,Bamako,Police Forces of Mali (2013-2020) Prison Guards,Unidentified Armed Group (Mali),,Prisoners (Mali); JNIM: Group for Support of Islam and Muslims; AQIM: Al Qaeda in the Islamic Maghreb
3745,868778,11 June 2014,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3748,869661,30 May 2014,Explosions/Remote violence,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Aid Workers (Mali)
3749,869762,29 May 2014,Explosions/Remote violence,Mali,Tombouctou,Unidentified Armed Group (Mali),Civilians (Mali),,Aid Workers (Mali)
3751,870025,24 May 2014,Battles,Mali,Gao,MNLA: National Movement for the Liberation of Azawad,MUJAO: Movement for Unity and Jihad in West Africa,,
3762,870266,21 May 2014,Battles,Mali,Gao,MNLA: National Movement for the Liberation of Azawad,Military Forces of Mali (2013-2020),,
3763,870276,21 May 2014,Battles,Mali,Kidal,MNLA: National Movement for the Liberation of Azawad,Military Forces of Mali (2013-2020),HCUA: High Council for the Unity of Azawad; MAA: Arab Movement of the Azawad; MUJAO: Movement for Unity and Jihad in West Africa,
3772,870554,17 May 2014,Battles,Mali,Kidal,MNLA: National Movement for the Liberation of Azawad,Military Forces of Mali (2013-2020),,
3773,870559,17 May 2014,Battles,Mali,Kidal,MNLA: National Movement for the Liberation of Azawad,Military Forces of Mali (2013-2020),,
3777,870837,13 May 2014,Explosions/Remote violence,Mali,Kidal,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Unidentified Armed Group (Mali),,
3778,871221,08 May 2014,Explosions/Remote violence,Mali,Kidal,Military Forces of France (2012-2017),Unidentified Armed Group (Mali),,
3779,871642,02 May 2014,Battles,Mali,Gao,MNLA: National Movement for the Liberation of Azawad,MUJAO: Movement for Unity and Jihad in West Africa,,
3781,871799,01 May 2014,Battles,Mali,Gao,MNLA: National Movement for the Liberation of Azawad,MUJAO: Movement for Unity and Jihad in West Africa,,
3782,871969,29 April 2014,Battles,Mali,Tombouctou,Arab Ethnic Militia (Mali),Arab Ethnic Militia (Mali),,
3783,872017,28 April 2014,Explosions/Remote violence,Mali,Gao,Military Forces of Mali (2013-2020),Unidentified Armed Group (Mali),,
3784,872256,24 April 2014,Explosions/Remote violence,Mali,Kidal,Military Forces of France (2012-2017),Ansar Dine,MNLA: National Movement for the Liberation of Azawad,
3785,872276,23 April 2014,Explosions/Remote violence,Mali,Kidal,AQIM: Al Qaeda in the Islamic Maghreb,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
3787,872693,17 April 2014,Battles,Mali,Tombouctou,Military Forces of France (2012-2017),MUJAO: Movement for Unity and Jihad in West Africa,,
3788,872858,14 April 2014,Explosions/Remote violence,Mali,Gao,AQIM: Al Qaeda in the Islamic Maghreb,,,
3789,873047,12 April 2014,Explosions/Remote violence,Mali,Kidal,AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of France (2012-2017),,
3790,873184,10 April 2014,Battles,Mali,Tombouctou,Military Forces of France (2012-2017),AQIM: Al Qaeda in the Islamic Maghreb,,
3791,873416,07 April 2014,Explosions/Remote violence,Mali,Kidal,Military Forces of Mali (2013-2020),AQIM: Al Qaeda in the Islamic Maghreb,Military Forces of France (2012-2017),
3792,873583,05 April 2014,Battles,Mali,Bamako,Police Forces of Mali (2013-2020),Unidentified Armed Group (Mali),,
3795,874778,16 March 2014,Explosions/Remote violence,Mali,Kidal,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Unidentified Armed Group (Mali),,
3797,875207,09 March 2014,Explosions/Remote violence,Mali,Gao,Military Forces of Mali (2013-2020),MUJAO: Movement for Unity and Jihad in West Africa,,
3798,875253,08 March 2014,Battles,Mali,Tombouctou,Military Forces of France (2012-2017),MUJAO: Movement for Unity and Jihad in West Africa,,JNIM: Group for Support of Islam and Muslims; AQIM: Al Qaeda in the Islamic Maghreb
3799,875371,07 March 2014,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),Military Forces of France (2012-2017),,
3800,875437,05 March 2014,Battles,Mali,Kidal,Unidentified Armed Group (Mali),MNLA: National Movement for the Liberation of Azawad,,
3801,875475,05 March 2014,Battles,Mali,Kidal,Military Forces of Mali (2013-2020),MNLA: National Movement for the Liberation of Azawad,,
3802,875502,05 March 2014,Battles,Mali,Kidal,Military Forces of France (2012-2017),AQIM: Al Qaeda in the Islamic Maghreb,,
3803,875580,04 March 2014,Battles,Mali,Kidal,Military Forces of France (2012-2017),AQIM: Al Qaeda in the Islamic Maghreb,,
3804,875804,01 March 2014,Battles,Mali,Tombouctou,Military Forces of France (2012-2017),AQIM: Al Qaeda in the Islamic Maghreb,,
3805,875805,01 March 2014,Battles,Mali,Tombouctou,Military Forces of France (2012-2017),AQIM: Al Qaeda in the Islamic Maghreb,,
3806,875806,01 March 2014,Battles,Mali,Tombouctou,Military Forces of France (2012-2017),AQIM: Al Qaeda in the Islamic Maghreb,,
3807,875974,26 February 2014,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),Civilians (Mali),,Aid Workers (Mali)
3808,875985,26 February 2014,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),Civilians (Mali),,Aid Workers (Mali)
3809,876386,20 February 2014,Battles,Mali,Kidal,Unidentified Armed Group (Mali),Military Forces of France (2012-2017),,
3810,876647,16 February 2014,Explosions/Remote violence,Mali,Tombouctou,GMA: Mourabitounes Group of Azawad,Civilians (Mali),,
3812,876849,13 February 2014,Explosions/Remote violence,Mali,Gao,MUJAO: Movement for Unity and Jihad in West Africa,Civilians (Mali),GMA: Mourabitounes Group of Azawad,
3816,876933,11 February 2014,Battles,Mali,Gao,MUJAO: Movement for Unity and Jihad in West Africa,Tuareg Ethnic Militia (Mali),,Militia (Haj Ag Gamou)
3818,876989,10 February 2014,Battles,Mali,Gao,MUJAO: Movement for Unity and Jihad in West Africa,Tuareg Ethnic Militia (Mali),,Militia (Haj Ag Gamou)
3819,877069,09 February 2014,Battles,Mali,Gao,MNLA: National Movement for the Liberation of Azawad,MUJAO: Movement for Unity and Jihad in West Africa,,
3820,877119,08 February 2014,Battles,Mali,Gao,MNLA: National Movement for the Liberation of Azawad,MUJAO: Movement for Unity and Jihad in West Africa,,
3823,877506,04 February 2014,Explosions/Remote violence,Mali,Gao,Unidentified Armed Group (Mali),Military Forces of France (2012-2017),,
3825,878261,24 January 2014,Explosions/Remote violence,Mali,Kidal,Unidentified Armed Group (Mali),,,
3826,878498,22 January 2014,Battles,Mali,Kidal,Military Forces of France (2012-2017),MUJAO: Movement for Unity and Jihad in West Africa,,Those Who Signed in Blood
3827,878506,22 January 2014,Battles,Mali,Tombouctou,Military Forces of France (2012-2017),MUJAO: Movement for Unity and Jihad in West Africa,,Those Who Signed in Blood
3828,878579,20 January 2014,Explosions/Remote violence,Mali,Kidal,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Unidentified Armed Group (Mali),,
3830,879368,10 January 2014,Battles,Mali,Kidal,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Unidentified Armed Group (Mali),,
3833,880620,26 December 2013,Explosions/Remote violence,Mali,Gao,Military Forces of Mali (2013-2020),Unidentified Armed Group (Mali),,
3834,880785,23 December 2013,Battles,Mali,Gao,Military Forces of Mali (2013-2020),Islamist Militia (Mali),,MUJAO: Movement for Unity and Jihad in West Africa
3835,881254,16 December 2013,Explosions/Remote violence,Mali,Kidal,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Unidentified Armed Group (Mali),Military Forces of France (2012-2017),
3837,881366,14 December 2013,Explosions/Remote violence,Mali,Kidal,Islamist Militia (Mali),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),,
